Category: All categories

Week,bitcoin: (Worldwide)
2017-03-19,6
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,10
2017-05-14,11
2017-05-21,19
2017-05-28,13
2017-06-04,12
2017-06-11,14
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,15
2017-08-13,21
2017-08-20,16
2017-08-27,17
2017-09-03,18
2017-09-10,22
2017-09-17,16
2017-09-24,13
2017-10-01,13
2017-10-08,19
2017-10-15,20
2017-10-22,20
2017-10-29,27
2017-11-05,30
2017-11-12,31
2017-11-19,28
2017-11-26,67
2017-12-03,91
2017-12-10,86
2017-12-17,100
2017-12-24,63
2017-12-31,48
2018-01-07,47
2018-01-14,59
2018-01-21,38
2018-01-28,40
2018-02-04,46
2018-02-11,28
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,20
